"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"173","13","5","STAN","ECR","standard","permutations","upper",NA
"174","14","5","STAN","ECR","standard","permutations","upper",NA
"175","15","5","STAN","ECR","standard","permutations","upper",NA
"176","16","5","STAN","ECR","standard","permutations","upper",NA
"177","17","5","STAN","ECR","standard","permutations","upper",NA
"178","18","5","STAN","ECR","standard","permutations","upper",NA
"179","19","5","STAN","ECR","standard","permutations","upper",NA
"180","20","5","STAN","ECR","standard","permutations","upper",NA
"181","1","6","STAN","ECR","standard","permutations","upper",NA
"182","2","6","STAN","ECR","standard","permutations","upper",NA
"183","3","6","STAN","ECR","standard","permutations","upper",NA
"184","4","6","STAN","ECR","standard","permutations","upper",NA
"185","5","6","STAN","ECR","standard","permutations","upper",NA
"186","6","6","STAN","ECR","standard","permutations","upper",NA
"187","7","6","STAN","ECR","standard","permutations","upper",NA
"188","8","6","STAN","ECR","standard","permutations","upper",NA
"189","9","6","STAN","ECR","standard","permutations","upper",NA
"190","10","6","STAN","ECR","standard","permutations","upper",NA
"191","11","6","STAN","ECR","standard","permutations","upper",NA
"192","12","6","STAN","ECR","standard","permutations","upper",NA
"193","13","6","STAN","ECR","standard","permutations","upper",NA
"194","14","6","STAN","ECR","standard","permutations","upper",NA
"195","15","6","STAN","ECR","standard","permutations","upper",NA
"196","16","6","STAN","ECR","standard","permutations","upper",NA
"197","17","6","STAN","ECR","standard","permutations","upper",NA
"198","18","6","STAN","ECR","standard","permutations","upper",NA
"199","19","6","STAN","ECR","standard","permutations","upper",NA
"200","20","6","STAN","ECR","standard","permutations","upper",NA
"201","1","2","JAGS","STEPHENS","standard","permutations","upper","-234.739279496773"
"202","2","2","JAGS","STEPHENS","standard","permutations","upper","-234.910611160906"
"203","3","2","JAGS","STEPHENS","standard","permutations","upper","-232.891713510158"
"204","4","2","JAGS","STEPHENS","standard","permutations","upper","-234.925093235958"
"205","5","2","JAGS","STEPHENS","standard","permutations","upper","-234.381993328102"
"206","6","2","JAGS","STEPHENS","standard","permutations","upper","-234.830752794201"
"207","7","2","JAGS","STEPHENS","standard","permutations","upper","-234.020465436387"
"208","8","2","JAGS","STEPHENS","standard","permutations","upper","-234.64649089821"
"209","9","2","JAGS","STEPHENS","standard","permutations","upper","-233.554901073399"
"210","10","2","JAGS","STEPHENS","standard","permutations","upper","-233.688367359891"
"211","11","2","JAGS","STEPHENS","standard","permutations","upper","-233.843779435208"
"212","12","2","JAGS","STEPHENS","standard","permutations","upper","-234.653661192968"
"213","13","2","JAGS","STEPHENS","standard","permutations","upper","-234.082840720807"
"214","14","2","JAGS","STEPHENS","standard","permutations","upper","-234.481758794493"
"215","15","2","JAGS","STEPHENS","standard","permutations","upper","-234.738506144358"
"216","16","2","JAGS","STEPHENS","standard","permutations","upper","-232.81829032068"
"217","17","2","JAGS","STEPHENS","standard","permutations","upper","-233.00428965441"
"218","18","2","JAGS","STEPHENS","standard","permutations","upper","-233.498549809246"
"219","19","2","JAGS","STEPHENS","standard","permutations","upper","-233.646493331074"
"220","20","2","JAGS","STEPHENS","standard","permutations","upper","-233.673211214542"
"221","1","3","JAGS","STEPHENS","standard","permutations","upper","-224.189525999002"
"222","2","3","JAGS","STEPHENS","standard","permutations","upper","-225.150755991596"
"223","3","3","JAGS","STEPHENS","standard","permutations","upper","-224.721426396898"
"224","4","3","JAGS","STEPHENS","standard","permutations","upper","-225.645735633956"
"225","5","3","JAGS","STEPHENS","standard","permutations","upper","-224.24288712992"
"226","6","3","JAGS","STEPHENS","standard","permutations","upper","-225.612503684226"
"227","7","3","JAGS","STEPHENS","standard","permutations","upper","-224.732167384891"
"228","8","3","JAGS","STEPHENS","standard","permutations","upper","-224.258383714045"
"229","9","3","JAGS","STEPHENS","standard","permutations","upper","-225.528975576194"
"230","10","3","JAGS","STEPHENS","standard","permutations","upper","-225.207337487645"
"231","11","3","JAGS","STEPHENS","standard","permutations","upper","-225.79789377224"
"232","12","3","JAGS","STEPHENS","standard","permutations","upper","-225.073075427834"
"233","13","3","JAGS","STEPHENS","standard","permutations","upper","-224.255046977666"
"234","14","3","JAGS","STEPHENS","standard","permutations","upper","-224.144845688176"
"235","15","3","JAGS","STEPHENS","standard","permutations","upper","-225.79450148307"
"236","16","3","JAGS","STEPHENS","standard","permutations","upper","-225.011814427603"
"237","17","3","JAGS","STEPHENS","standard","permutations","upper","-225.478296254285"
"238","18","3","JAGS","STEPHENS","standard","permutations","upper","-225.817172718545"
"239","19","3","JAGS","STEPHENS","standard","permutations","upper","-224.086937153032"
"240","20","3","JAGS","STEPHENS","standard","permutations","upper","-224.452273036455"
"241","1","4","JAGS","STEPHENS","standard","permutations","upper","-223.773433166921"
"242","2","4","JAGS","STEPHENS","standard","permutations","upper","-224.33190116836"
"243","3","4","JAGS","STEPHENS","standard","permutations","upper","-223.663598688957"
"244","4","4","JAGS","STEPHENS","standard","permutations","upper","-224.193254026473"
"245","5","4","JAGS","STEPHENS","standard","permutations","upper","-223.279451160373"
"246","6","4","JAGS","STEPHENS","standard","permutations","upper","-224.29572211783"
"247","7","4","JAGS","STEPHENS","standard","permutations","upper","-223.907803470442"
"248","8","4","JAGS","STEPHENS","standard","permutations","upper","-223.128824318393"
"249","9","4","JAGS","STEPHENS","standard","permutations","upper","-223.777421823694"
"250","10","4","JAGS","STEPHENS","standard","permutations","upper","-224.490001741575"
"251","11","4","JAGS","STEPHENS","standard","permutations","upper","-223.752385463661"
"252","12","4","JAGS","STEPHENS","standard","permutations","upper","-225.096324665488"
"253","13","4","JAGS","STEPHENS","standard","permutations","upper","-223.4670257734"
"254","14","4","JAGS","STEPHENS","standard","permutations","upper","-224.197841239006"
"255","15","4","JAGS","STEPHENS","standard","permutations","upper","-224.390028450829"
"256","16","4","JAGS","STEPHENS","standard","permutations","upper","-223.427177930621"
"257","17","4","JAGS","STEPHENS","standard","permutations","upper","-223.929774151819"
"258","18","4","JAGS","STEPHENS","standard","permutations","upper","-224.582997425971"
"259","19","4","JAGS","STEPHENS","standard","permutations","upper","-225.180385967394"
"260","20","4","JAGS","STEPHENS","standard","permutations","upper","-223.587353571387"
"261","1","5","JAGS","STEPHENS","standard","permutations","upper","-223.453563426527"
"262","2","5","JAGS","STEPHENS","standard","permutations","upper","-223.252733296343"
"263","3","5","JAGS","STEPHENS","standard","permutations","upper","-224.675939316282"
"264","4","5","JAGS","STEPHENS","standard","permutations","upper","-224.668892549635"
"265","5","5","JAGS","STEPHENS","standard","permutations","upper","-223.877158592591"
"266","6","5","JAGS","STEPHENS","standard","permutations","upper","-223.323378457947"
"267","7","5","JAGS","STEPHENS","standard","permutations","upper","-224.271069104938"
"268","8","5","JAGS","STEPHENS","standard","permutations","upper","-223.769342826244"
"269","9","5","JAGS","STEPHENS","standard","permutations","upper","-225.029406655563"
"270","10","5","JAGS","STEPHENS","standard","permutations","upper","-224.851316753211"
"271","11","5","JAGS","STEPHENS","standard","permutations","upper","-222.975933132757"
"272","12","5","JAGS","STEPHENS","standard","permutations","upper","-222.403689294588"
"273","13","5","JAGS","STEPHENS","standard","permutations","upper","-225.137954899905"
"274","14","5","JAGS","STEPHENS","standard","permutations","upper","-223.542350760469"
"275","15","5","JAGS","STEPHENS","standard","permutations","upper","-223.942293156073"
"276","16","5","JAGS","STEPHENS","standard","permutations","upper","-223.75195081937"
"277","17","5","JAGS","STEPHENS","standard","permutations","upper","-222.755035892053"
"278","18","5","JAGS","STEPHENS","standard","permutations","upper","-225.591557514586"
"279","19","5","JAGS","STEPHENS","standard","permutations","upper","-223.174545371185"
"280","20","5","JAGS","STEPHENS","standard","permutations","upper","-222.122853310882"
"281","1","6","JAGS","STEPHENS","standard","permutations","upper","-223.295567771108"
"282","2","6","JAGS","STEPHENS","standard","permutations","upper","-224.770859110706"
"283","3","6","JAGS","STEPHENS","standard","permutations","upper","-223.506089603825"
"284","4","6","JAGS","STEPHENS","standard","permutations","upper","-224.33625570825"
"285","5","6","JAGS","STEPHENS","standard","permutations","upper","-223.080104127649"
"286","6","6","JAGS","STEPHENS","standard","permutations","upper","-222.993502728164"
"287","7","6","JAGS","STEPHENS","standard","permutations","upper","-223.057038137866"
"288","8","6","JAGS","STEPHENS","standard","permutations","upper","-223.56288686257"
"289","9","6","JAGS","STEPHENS","standard","permutations","upper","-223.573586185282"
"290","10","6","JAGS","STEPHENS","standard","permutations","upper","-222.884973475272"
"291","11","6","JAGS","STEPHENS","standard","permutations","upper","-223.695627291144"
"292","12","6","JAGS","STEPHENS","standard","permutations","upper","-223.506078298746"
"293","13","6","JAGS","STEPHENS","standard","permutations","upper","-223.708010275845"
"294","14","6","JAGS","STEPHENS","standard","permutations","upper","-223.214040779829"
"295","15","6","JAGS","STEPHENS","standard","permutations","upper","-222.894128676435"
"296","16","6","JAGS","STEPHENS","standard","permutations","upper","-223.842050308826"
"297","17","6","JAGS","STEPHENS","standard","permutations","upper","-223.162859223837"
"298","18","6","JAGS","STEPHENS","standard","permutations","upper","-223.62235152624"
"299","19","6","JAGS","STEPHENS","standard","permutations","upper","-222.027837387038"
"300","20","6","JAGS","STEPHENS","standard","permutations","upper","-222.792428931189"
"301","1","2","STAN","STEPHENS","standard","permutations","upper","-234.276661001597"
"302","2","2","STAN","STEPHENS","standard","permutations","upper","-234.629570957659"
"303","3","2","STAN","STEPHENS","standard","permutations","upper","-234.661737270818"
"304","4","2","STAN","STEPHENS","standard","permutations","upper","-233.306260870662"
"305","5","2","STAN","STEPHENS","standard","permutations","upper","-234.179143125503"
"306","6","2","STAN","STEPHENS","standard","permutations","upper","-233.895911023792"
"307","7","2","STAN","STEPHENS","standard","permutations","upper","-233.284335457752"
"308","8","2","STAN","STEPHENS","standard","permutations","upper","-232.896160117768"
"309","9","2","STAN","STEPHENS","standard","permutations","upper","-233.354509397399"
"310","10","2","STAN","STEPHENS","standard","permutations","upper","-233.476638134753"
"311","11","2","STAN","STEPHENS","standard","permutations","upper","-232.646516794365"
"312","12","2","STAN","STEPHENS","standard","permutations","upper","-234.492738699309"
"313","13","2","STAN","STEPHENS","standard","permutations","upper","-233.410068248378"
"314","14","2","STAN","STEPHENS","standard","permutations","upper","-234.319487017339"
"315","15","2","STAN","STEPHENS","standard","permutations","upper","-234.016878503639"
"316","16","2","STAN","STEPHENS","standard","permutations","upper","-233.373279478131"
"317","17","2","STAN","STEPHENS","standard","permutations","upper","-232.088947455856"
"318","18","2","STAN","STEPHENS","standard","permutations","upper","-234.51160909032"
"319","19","2","STAN","STEPHENS","standard","permutations","upper","-234.753176987214"
"320","20","2","STAN","STEPHENS","standard","permutations","upper","-233.735661663944"
"321","1","3","STAN","STEPHENS","standard","permutations","upper","-225.658151325657"
"322","2","3","STAN","STEPHENS","standard","permutations","upper","-224.335787035974"
"323","3","3","STAN","STEPHENS","standard","permutations","upper","-224.618942972404"
"324","4","3","STAN","STEPHENS","standard","permutations","upper","-225.511453149946"
"325","5","3","STAN","STEPHENS","standard","permutations","upper","-224.172651965632"
"326","6","3","STAN","STEPHENS","standard","permutations","upper","-224.955265666277"
"327","7","3","STAN","STEPHENS","standard","permutations","upper","-224.723325878121"
"328","8","3","STAN","STEPHENS","standard","permutations","upper","-224.620623028695"
"329","9","3","STAN","STEPHENS","standard","permutations","upper","-224.587652288856"
"330","10","3","STAN","STEPHENS","standard","permutations","upper","-224.215945799424"
"331","11","3","STAN","STEPHENS","standard","permutations","upper","-225.127854776306"
"332","12","3","STAN","STEPHENS","standard","permutations","upper","-225.268173554656"
"333","13","3","STAN","STEPHENS","standard","permutations","upper","-225.357172124787"
"334","14","3","STAN","STEPHENS","standard","permutations","upper","-226.250240738946"
"335","15","3","STAN","STEPHENS","standard","permutations","upper","-224.170656852086"
"336","16","3","STAN","STEPHENS","standard","permutations","upper","-225.803051935352"
"337","17","3","STAN","STEPHENS","standard","permutations","upper","-225.090085332815"
"338","18","3","STAN","STEPHENS","standard","permutations","upper","-225.116519496531"
"339","19","3","STAN","STEPHENS","standard","permutations","upper","-224.130921542142"
"340","20","3","STAN","STEPHENS","standard","permutations","upper","-225.000346556315"
"341","1","4","STAN","STEPHENS","standard","permutations","upper","-225.002394584462"
"342","2","4","STAN","STEPHENS","standard","permutations","upper","-223.801268676513"
"343","3","4","STAN","STEPHENS","standard","permutations","upper","-223.431322935617"
"344","4","4","STAN","STEPHENS","standard","permutations","upper","-223.501933229699"
"345","5","4","STAN","STEPHENS","standard","permutations","upper","-225.19933610189"
"346","6","4","STAN","STEPHENS","standard","permutations","upper","-223.889565563059"
"347","7","4","STAN","STEPHENS","standard","permutations","upper","-224.2831727186"
"348","8","4","STAN","STEPHENS","standard","permutations","upper","-223.776064322235"
"349","9","4","STAN","STEPHENS","standard","permutations","upper","-223.609909506118"
"350","10","4","STAN","STEPHENS","standard","permutations","upper","-223.815567469989"
"351","11","4","STAN","STEPHENS","standard","permutations","upper","-223.776956446409"
"352","12","4","STAN","STEPHENS","standard","permutations","upper","-223.493947005022"
"353","13","4","STAN","STEPHENS","standard","permutations","upper","-224.102328866448"
"354","14","4","STAN","STEPHENS","standard","permutations","upper","-224.40325894035"
"355","15","4","STAN","STEPHENS","standard","permutations","upper","-224.025550757489"
"356","16","4","STAN","STEPHENS","standard","permutations","upper","-224.658160851866"
"357","17","4","STAN","STEPHENS","standard","permutations","upper","-223.309326131292"
"358","18","4","STAN","STEPHENS","standard","permutations","upper","-223.678925909042"
"359","19","4","STAN","STEPHENS","standard","permutations","upper","-223.405096566611"
"360","20","4","STAN","STEPHENS","standard","permutations","upper","-224.426555400032"
"361","1","5","STAN","STEPHENS","standard","permutations","upper","-224.428804531269"
"362","2","5","STAN","STEPHENS","standard","permutations","upper","-223.03844863886"
"363","3","5","STAN","STEPHENS","standard","permutations","upper","-222.145588894407"
"364","4","5","STAN","STEPHENS","standard","permutations","upper","-224.388530746061"
"365","5","5","STAN","STEPHENS","standard","permutations","upper","-222.989745826584"
"366","6","5","STAN","STEPHENS","standard","permutations","upper","-224.042717530301"
"367","7","5","STAN","STEPHENS","standard","permutations","upper","-222.311152650509"
"368","8","5","STAN","STEPHENS","standard","permutations","upper","-222.626798873473"
"369","9","5","STAN","STEPHENS","standard","permutations","upper","-223.357804106855"
